Product Title;Product Version;Product Artist;Product Barcode;Product Catalog Number;Product Label;Asset Title;Asset Version;Asset Artist;Asset ISRC;Asset Duration;Sale ID;Report ID;Report Name;Sale Unit Type;Sale Type;Sale Start date;Sale End date;Sale Store Name;Sale Country;Unit Count;Royalty;Currency;;;
Allt du gör och att du finns;;Mares;7,07125E+12;HYBR7071245201470;Hybris;Allt du gör och att du finns;;Mares;SEWGI1509001;260;953876238;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;SE;47;6,18468711;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Rock'n'Roll Will Never Die;;Mares;SEWGI1801504;251;953876218;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;SE;235;12,56372586;SEK;;;
Allt du gör och att du finns;;Mares;7,07125E+12;HYBR7071245201470;Hybris;Allt du gör och att du finns;;Mares;SEWGI1509001;260;953876217;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;SE;21;1,122715928;SEK;;;
Cyklar ni så springer jag;;Mares;7,07125E+12;HYBR204;Hybris;Cyklar ni så springer jag;;Mares;SEWGI1605601;208;953876210;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;SE;1389;74,25963923;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Fri;;Mares;SEWGI1801502;263;953876177;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;CA;3;0,139536081;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953876171;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;CA;1;0,046512027;SEK;;;
Höga klackar;;Mares;7,07125E+12;HYBR165;Hybris;Höga klackar;;Mares;SEWGI1605001;181;953876156;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;CA;9;0,231039952;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Rock'n'Roll Will Never Die;;Mares;SEWGI1801504;251;953876102;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;ZA;1;0,017591743;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953876082;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;AU;14;0,974559096;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Rock'n'Roll Will Never Die;;Mares;SEWGI1801504;251;953876042;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;SE;44;5,789919848;SEK;;;
Allt du gör och att du finns;;Mares;7,07125E+12;HYBR7071245201470;Hybris;Allt du gör och att du finns;;Mares;SEWGI1509001;260;953873656;136098;;Asset;Download;2019-03-03;2019-03-30;iTunes;SE;2;8,621965762;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Epos No. 1;;Mares;SEWGI1801501;332;953873579;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;GB;2;0,111566261;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Epos No. 1;;Mares;SEWGI1801501;332;953873563;136098;;Asset;Other;2019-03-03;2019-03-30;iTunes;SE;1;0,001396548;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Fri;;Mares;SEWGI1801502;263;953873539;136098;;Asset;Other;2019-03-03;2019-03-30;iTunes;GB;1;0,004592345;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953873536;136098;;Asset;Other;2019-03-03;2019-03-30;iTunes;GB;3;0,013777035;SEK;;;
Cyklar ni så springer jag;;Mares;7,07125E+12;HYBR204;Hybris;Cyklar ni så springer jag;;Mares;SEWGI1605601;208;953873431;136098;;Asset;Streaming;2019-03-01;2019-04-01;YouTube Content ID;PH;1;0,000318657;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Rock'n'Roll Will Never Die;;Mares;SEWGI1801504;251;953873330;136098;;Asset;Download;2019-03-03;2019-03-30;iTunes;JP;1;6,640996384;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Rock'n'Roll Will Never Die;;Mares;SEWGI1801504;251;953876352;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;CA;3;0,077013317;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Fri;;Mares;SEWGI1801502;263;953876344;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;CA;3;0,076580972;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953888427;136098;;Asset;Streaming;2018-12-01;2019-01-01;TDC Play Musik;DK;11;0,487191448;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953888384;136098;;Asset;Other;2018-12-01;2019-01-01;Saavn;;29;0;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Epos No. 1;;Mares;SEWGI1801501;332;953888379;136098;;Asset;Streaming;2018-11-01;2018-12-01;AWA;JP;1;0;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Allt vi har är tid;;Mares;SEWGI1801503;250;953888319;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;US;1;0,02441223;SEK;;;
Cyklar ni så springer jag;;Mares;7,07125E+12;HYBR204;Hybris;Cyklar ni så springer jag;;Mares;SEWGI1605601;208;953888282;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;US;5;0,323196702;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953888275;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;US;1;0,048724564;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Fri;;Mares;SEWGI1801502;263;953888251;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;US;5;0,169605686;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953888186;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;US;2;0,048824462;SEK;;;
Cyklar ni så springer jag;;Mares;7,07125E+12;HYBR204;Hybris;Cyklar ni så springer jag;;Mares;SEWGI1605601;208;953887931;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;US;25;0,848028436;SEK;;;
